MasseEtoile,MassePlanete,DistanceEP,Temperature,Periodicite,Rayon,Species
0.08,0.36,43477.00,14.85,9.20669,0.772,0.00
0.164,43498.00,0.00,08.15,634184.00,0.00,0.00
0.544,0.00,145.00,18.85,35.234,43800.00,0.00
0.29,2.89,43680.00,06.15,18.65,0.293,0.00
0.12,1.27,1.295,044.15,11.186,0.00,0.00
0.08,0.24,43477.00,021.85,6.099615,0.918,0.00
0.00,0.00,0.00,62.85,34.143,1.74,0.00
0.33,0.012,6.84,13.00,28.14,1.54,0.00
0.609,0.61,342.00,40.00,112.305,0.12,0.00
0.69,0.113,0.00,-3.00,122.388,1.61,0.00
1.037,5.00,452.00,-8.00,384.843,1.63,0.00
0.217,43648.00,69.8,16.00,24.1699,0.82,0.00
0.45,0.0157317,4.94,20.00,35.68,43586.00,0.00
0.612,7.50,42.00,9.00,44.5705,1.51,0.00
0.62,0.0145,0.00,17.95,92.74,1.81,0.00
0.783,0.013,3.65,13.00,162.87,0.00,0.00
0.6083,0.16,0.00,0.00,63.336,0.16,0.00
0.575,0.00,261.00,4.00,101.112,0.166,0.00
0.77,0.023,43689.00,5.00,197.8,0.00,0.00
0.635,0.00,0.00,5.00,59.878,0.192,0.00
8.39,0.00,15.00,4.00,0.00,2.00,0.00
0.413,7.96,111.00,23.00,33.00,0.39,0.00
0.97,1.232,179.975,11.00,289.00,2.38,0.00
0.738,0.00,779.00,25.00,177.00,0.706,0.00
0.65,0.00,0.00,3.00,77.747,0.223,0.00
0.884,1458901.00,693.00,21.00,178.14,2.24,0.00
0.08,0.36,0.00,52.00,9.206,1.045,0.00
0.69,1.232,367.00,72.00,267.00,1.41,0.00
0.71,0.00,360.00,67.00,247.00,0.63,0.00
0.478,0.00,153.00,85.00,130.00,43770.00,0.00
0.168,43589.00,0.99,0.00,0.00,0.00,0.00
0.08,0.005,43477.00,92.00,12.353,0.117,0.00
0.404,0.00,0.00,5.00,38.1,0.1654,0.00
0.17,1.35,696213.00,7.00,43717.00,43466.00,0.00
0.164,2.0,0.00,8.00,634184.00,0.00,0.00
0.9,0.4,43.54,1219,2.986,1.04,1.00
0.91,0.23,33.4,1132,3.024,1.02,1.00
1.28,0.92,27,1420,3.093,1.05,1.00
1.3,5.84,15.6,1497,3.313,1.06,1.00
0.99,0.46,66,1452,3.488,1.03,1.00
1.05,0.47,28.94,1407,3.51,1.03,1.00
1.148,0.69,47,1352,3.525,1.38,1.00
1,0.23,59.7,1316,3.972,0.99,1.00
1.11,0.47,14.7,1261,4.231,1.9,1.00
1.07,0.1,40.7,973,4.948,0.98,1.00
0.905,0.026,12.34,1791,0.737,0.178,1.00
0.98,3.94,58.4,367,111.437,0.921,1.00
0.78,1.24,1500,1211,1.433,1.11,1.00
1.26,1.17,1500,1812,1.69,1.23,1.00
0.452,0.07,10.2,651,2.644,0.38,1.00
1.18,0.68,1500,1414,3.102,1.72,1.00
1.2,0.3,74.5,1553,3.416,1,1.00
0.82,0.54,1500,940,4.015,1.077,1.00
1.3,0.357,78.9,1602,2.876,0.718,1.00
0.8,1.142,19.3,1088,2.219,1.138,1.00
1.21,1.5,91,1487,1.999,01.08,1.00
1.24,0.33,86,706,18.181,0.99,1.00
0.98,1.253,220,1368,2.471,1.189,1.00
1.151,0.525,139,1212,4.466,1.319,1.00
0.84,0.847,144,1171,2.153,1.079,1.00
1.275,3.195,78.24,817,21.217,1.095,1.00
0.98,0.62,149,1204,2.616,0.973,1.00
1.41,11.79,260,1713,3.192,1.217,1.00
0.95,01.03,460,1836,1.509,1.49,1.00
1.34,8.74,118,1352,5.634,0.951,1.00
0.917,0.591,130,1047,2.9,0.827,1.00
1.388,0.917,479,1626,3.554,1.706,1.00
0.97,3.31,300,1393,1.743,1.465,1.00
1.26,0.68,310,1551,3.057,1.27,1.00
1.163,01.06,340,1388,2.789,1.252,1.00
1.29,1.057,200,1530,3.854,1.33,1.00
1.24,02.06,223,1826,1.847,1.454,1.00
0.93,1.237,300,1711,1.339,1.395,1.00
1,1.637,297,1584,1.629,1.171,1.00
1.52,4.34,900,2155,2.486,1.614,1.00
1.51,1.741,320,2005,2.205,1.431,1.00
1.35,1.404,427,2320,1.092,1.736,1.00
0.888,0.503,307,1092,3.362,1.224,1.00
1.276,0.96,140,1360,4.955,1.33,1.00
1.033,2.244,87,852,8.159,1.038,1.00
0.71,3.16,90,947,3.093,01.08,1.00
1.211,7.341,160,1720,2.244,1.281,1.00
1.18,0.542,308,1512,3.753,1.428,1.00
1.41,21.77,680,1454,4.257,01.01,1.00
1,0.467,400,1317,4.038,1.33,1.00
0.88,1.077,255,1134,4.188,01.03,1.00
1.32,1.616,293,1336,4.125,1.317,1.00
1.28,0.67,480,1398,3.923,1.4,1.00
0.82,0.46,125,943,3.723,1.045,1.00
0.93,0.015,150,1667,0.854,0.136,1.00
1.28,1.34,230,1622,3.077,1.5,1.00
0.81,0.083,38,793,4.888,0.422,1.00
0.832,0.028,16.8,847,5.398,01.05,1.00
0.88,0.216,380,783,6.213,0.57,1.00
0.73,0.211,142.5,875,3.214,0.955,1.00
0.99,0.84,460,377,95.274,0.94,1.00
1.22,0.85,214,1505,2.917,1.28,1.00
1.24,10.43,100,2188,0.942,1.165,1.00
0.15,0.021,13,522,1.581,0.239,1.00
1.223,0.083,550,1475,3.214,0.357,1.00
1.213,0.603,1330,1520,3.523,1.419,1.00
1.27,2.33,560,1564,2.995,1.43,1.00
1.078,0.917,1150,1319,2.829,1.44,1.00
1.386,2.2,205,1447,4.628,1.2,1.00
1.9,1.308,1310,1167,4.036,0.885,1.00
1.13,7.6,1340,1782,1.513,01.09,1.00
0.89,2.75,345,612,13.241,0.97,1.00
1.1,0.617,300,1298,3.533,1.199,1.00
1.12,1.028,250,1522,2.757,1.281,1.00
1.1,0.3,230,1155,4.323,1.21,1.00
1.129,1.071,332.5,1502,2.342,1.3,1.00
1,0.58,169,1135,3.765,1.26,1.00
1.021,0.907,410,1342,3.409,1.213,1.00
0.825,0.243,80,911,3.923,0.842,1.00
1.495,2.1,116,2452,1.22,1.603,1.00
1.218,4.193,235,1486,2.776,1.289,1.00
1.013,1.946,190,822,10.864,1.072,1.00
1.098,0.535,840,1093,5.353,1.17,1.00
01.04,2.43,920,1487,3.769,01.02,1.00
0.95,3.47,870,1397,1.901,1.31,1.00
1.21,1.11,800,1516,3.898,1.29,1.00
01.02,2.279,450,1555,1.538,1.269,1.00
1.16,0.478,400,1411,3.406,1.537,1.00
0.77,0.183,166,769,5.509,0.947,1.00
0.842,0.292,215,923,4.009,1.132,1.00
0.849,01.08,338,1214,3.578,1.16,1.00
1.191,0.685,306,1496,3.356,1.242,1.00
0.756,7.246,70,888,2.876,0.867,1.00
0.947,4.063,254,1165,4.125,1.024,1.00
0.916,2.147,82,1172,3.213,01.08,1.00
1.13,02.09,393,1948,1.213,1.368,1.00
0.857,0.534,90,712,10.339,01.01,1.00
01.01,0.567,297,1100,3.653,1.19,1.00
1.216,2.712,110,1153,6.872,1.079,1.00
0.816,0.059,134,908,4.235,0.565,1.00
0.85,0.024,21.1,688,9.491,0.201,1.00
01.01,0.59,120,1059,4.318,1.22,1.00
0.95,0.94,180,1208,3.053,1.18,1.00
1.48,2.2,2700,1481,6.874,1.17,1.00
0.91,0.011,173,2001,0.838,0.132,1.00
0.91,0.055,173,529,45.295,0.208,1.00
0.945,0.66,204,1103,03.04,1.055,1.00
0.93,0.28,230,1022,4.056,1.27,1.00
