MasseEtoile,MassePlanete,DistanceEP,Temperature,Periodicite,Rayon,Species
0.08,0.36,43477.00,14.85,9.20669,0.772,0.00
0.164,43498.00,-,08.15,634184.00,-,0.00
0.544,-,145.00,18.85,35.234,43800.00,0.00
0.29,2.89,43680.00,06.15,18.65,0.293,0.00
0.12,1.27,1.295,044.15,11.186,-,0.00
0.08,0.24,43477.00,021.85,6.099615,0.918,0.00
-,-,-,62.85,34.143,1.74,0.00
0.33,0.012,6.84,13.00,28.14,1.54,0.00
0.609,0.61,342.00,40.00,112.305,0.12,0.00
0.69,0.113,-,-3.00,122.388,1.61,0.00
1.037,5.00,452.00,-8.00,384.843,1.63,0.00
0.217,43648.00,69.8,16.00,24.1699,0.82,0.00
0.45,0.0157317,4.94,20.00,35.68,43586.00,0.00
0.612,7.50,42.00,9.00,44.5705,1.51,0.00
0.62,0.0145,-,17.95,92.74,1.81,0.00
0.729,0.0212,618.00,14.00,64.003,0.244,0.00
0.783,0.013,3.65,13.00,162.87,-,0.00
0.6083,0.16,-,-,63.336,0.16,0.00
0.575,-,261.00,4.00,101.112,0.166,0.00
0.77,0.023,43689.00,5.00,197.8,-,0.00
0.635,-,-,5.00,59.878,0.192,0.00
8.39,-,15.00,4.00,-,2.00,0.00
0.413,7.96,111.00,23.00,33.00,0.39,0.00
0.97,1.232,179.975,11.00,289.00,2.38,0.00
0.738,-,779.00,25.00,177.00,0.706,0.00
0.65,-,-,3.00,77.747,0.223,0.00
0.884,1458901.00,693.00,21.00,178.14,2.24,0.00
0.08,0.36,-,52.00,9.206,1.045,0.00
0.69,1.232,367.00,72.00,267.00,1.41,0.00
0.71,-,360.00,67.00,247.00,0.63,0.00
0.478,-,153.00,85.00,130.00,43770.00,0.00
0.168,43589.00,0.99,-,-,-,0.00
0.08,0.005,43477.00,92.00,12.353,0.117,0.00
0.404,-,-,5.00,38.1,0.1654,0.00
0.17,1.35,696213.00,7.00,43717.00,43466.00,0.00
0.164,2.0,-,8.00,634184.00,-,0.00
0.33,43648.00,-,-,39.03,-,1.00
43528.00,43468.00,43502.00,73.00,36.562,43709.00,1.00
0.33,43648.00,-,-,62.2,-,1.00
43528.00,7.00,43502.00,-,66.87,-,1.00
-,43619.00,11.00,17.00,54.43,-,1.00
0.810,-,-,506.00,13.72,2.29,1.00
0.81,6.67,642.00,-40.00,642.00,-,1.00
1.00,0.815,0.728,-41.3,224.701,0.952,1.00
1.00,0.107,1.381,-62.9,686.71,0.533,1.00
1.00,0.055,0.47,160.9,87.969,0.383,1.00
1.148,0.002,47.00,5726.85,3.524,0.12,1.00
43497.00,1.33,19.72,961.00,7.127,43678.00,1.00
43497.00,2.49,19.72,113.00,4210.00,43678.00,1.00
0.75,43569.00,31.26,660.00,8.429,0.71,1.00
0.79,43586.00,30.00,722.00,10.72,0.83,1.00
1.19,0.261,38.57,925.00,10.899,1.22,1.00
1.48,0.93,39.28,1084.00,14.311,2.44,1.00
1.48,43669.00,39.28,204.00,2134.76,2.44,1.00
0.905,0.84,12.34,661.00,14.654,0.943,1.00
0.905,0.179,12.34,456.00,44.373,0.943,1.00
0.905,3.86,12.34,95.00,4867.00,0.943,1.00
1.148,0.69,47.00,1352.00,3.525,1.38,1.00
1.00,0.23,59.7,1316.00,3.972,0.99,1.00
43770.00,0.47,43660.00,1261.00,4.231,43709.00,1.00
1.27,0.62,13.47,1440.00,4.618,-,1.00
1.27,43474.00,13.47,377.00,240.937,-,1.00
1.27,23.58,13.47,219.00,1281.439,-,1.00
1.27,1.059,13.47,152.00,3848.86,-,1.00
43647.00,0.1,40.7,973.00,4.948,0.98,1.00
43497.00,1.86,58.00,1023.00,6.278,-,1.00
0.88,0.23,43.12,1027.00,6.403,-,1.00
43497.00,1.33,19.72,961.00,7.127,-,1.00
43497.00,2.49,19.72,113.00,4210.00,-,1.00
0.75,43569.00,31.26,660.00,8.429,-,1.00
0.79,43586.00,30.00,722.00,10.72,-,1.00
1.19,0.261,38.57,925.00,10.899,-,1.00
1.48,0.93,39.28,1084.00,14.311,-,1.00
1.48,43669.00,39.28,204.00,2134.76,-,1.00
0.905,0.84,12.34,661.00,14.654,-,1.00
0.905,0.179,12.34,456.00,44.373,-,1.00
0.905,3.86,12.34,95.00,4867.00,-,1.00
0.905,0.026,12.34,1791.00,0.737,0.178,1.00
0.905,0.148,12.34,253.00,260.911,-,1.00
0.8,43469.00,43718.00,658.00,15.766,-,1.00
43617.00,43649.00,37.36,805.00,18.202,-,1.00
0.79,0.39,40.32,519.00,21.998,-,1.00
0.334,1.938,43650.00,194.00,61.03,-,1.00
0.334,0.856,43650.00,246.00,30.23,-,1.00
0.334,0.022,43650.00,614.00,1.94,-,1.00
0.334,0.045,43650.00,153.00,124.69,-,1.00
1.24,1.778,64.56,623.00,51.639,-,1.00
1.24,7.997,64.56,172.00,200399.00,-,1.00
0.995,7.659,37.38,559.00,58.113,-,1.00
0.995,29.463,37.38,179.00,1749.83,-,1.00
0.79,0.231,11.00,408.00,62.218,-,1.00
0.79,0.09,11.00,514.00,31.00,-,1.00
1.18,1.22,44.37,-,63.33,-,1.00
43647.00,6.292,46.73,470.00,71.487,-,1.00
43466.00,0.215,35.9,412.00,75.82,-,1.00
0.84,10.98,39.46,490.00,83.916,-,1.00
0.98,3.94,58.4,367.00,111.437,0.921,1.00
0.84,10.98,39.46,490,83.916,-,1.00
0.98,3.94,58.4,367.00,111.437,0.921,1.00
